Home,Home_Short,Away,Away_Short,Pts_Home,Pts_Away
SKS Fulimpex Starogard Gdański,STG,KKS Polonia Warszawa,WAR,86,99
Miners Katowice,KAT,KSK Qemetica Noteć Inowrocław,INO,57,69
Żubry Abakus Okna Białystok,BIA,PGE Spójnia Stargard,SPÓ,69,104
Weegree AZS Politechnika Opolska,OPO,ŁKS Coolpack Łódź,ŁKS,94,104
Enea Abramczyk Astoria Bydgoszcz,AST,Kotwica Port Morski Kołobrzeg,KOT,76,66
OPTeam Energia Polska Resovia,RES,WKK Active Hotel Wrocław,WKK,72,68
Kotwica Port Morski Kołobrzeg,KOT,Żubry Abakus Okna Białystok,BIA,93,73
PGE Spójnia Stargard,SPÓ,Enea Basket Poznań,POZ,82,77
ŁKS Coolpack Łódź,ŁKS,Enea Abramczyk Astoria Bydgoszcz,AST,73,75
KKS Polonia Warszawa,WAR,GKS Tychy,GKS,55,69
Novimex Polonia 1912 Leszno,LES,Solvera Sokół Łańcut,ŁAŃ,89,92
Weegree AZS Politechnika Opolska,OPO,Decka Pelplin,PEL,83,106
WKK Active Hotel Wrocław,WKK,Miners Katowice,KAT,92,94
KSK Qemetica Noteć Inowrocław,INO,SKS Fulimpex Starogard Gdański,STG,79,70
GKS Tychy,GKS,KSK Qemetica Noteć Inowrocław,INO,110,73
Żubry Abakus Okna Białystok,BIA,ŁKS Coolpack Łódź,ŁKS,87,81
Solvera Sokół Łańcut,ŁAŃ,KKS Polonia Warszawa,WAR,100,99
OPTeam Energia Polska Resovia,RES,PGE Spójnia Stargard,SPÓ,72,77
Enea Basket Poznań,POZ,Kotwica Port Morski Kołobrzeg,KOT,86,102
Decka Pelplin,PEL,Novimex Polonia 1912 Leszno,LES,82,75
Enea Abramczyk Astoria Bydgoszcz,AST,Weegree AZS Politechnika Opolska,OPO,89,80
SKS Fulimpex Starogard Gdański,STG,WKK Active Hotel Wrocław,WKK,96,80
Kotwica Port Morski Kołobrzeg,KOT,OPTeam Energia Polska Resovia,RES,103,80
Enea Abramczyk Astoria Bydgoszcz,AST,Decka Pelplin,PEL,104,81
KSK Qemetica Noteć Inowrocław,INO,Solvera Sokół Łańcut,ŁAŃ,87,101
KKS Polonia Warszawa,WAR,Novimex Polonia 1912 Leszno,LES,68,76
Weegree AZS Politechnika Opolska,OPO,Żubry Abakus Okna Białystok,BIA,87,68
ŁKS Coolpack Łódź,ŁKS,Enea Basket Poznań,POZ,96,82
WKK Active Hotel Wrocław,WKK,GKS Tychy,GKS,77,69
PGE Spójnia Stargard,SPÓ,Miners Katowice,KAT,92,83
Solvera Sokół Łańcut,ŁAŃ,WKK Active Hotel Wrocław,WKK,96,94
Novimex Polonia 1912 Leszno,LES,KSK Qemetica Noteć Inowrocław,INO,72,66
Miners Katowice,KAT,Kotwica Port Morski Kołobrzeg,KOT,82,98
SKS Fulimpex Starogard Gdański,STG,PGE Spójnia Stargard,SPÓ,80,83
Żubry Abakus Okna Białystok,BIA,Enea Abramczyk Astoria Bydgoszcz,AST,72,83
KKS Polonia Warszawa,WAR,Decka Pelplin,PEL,93,80
OPTeam Energia Polska Resovia,RES,ŁKS Coolpack Łódź,ŁKS,82,89
Enea Basket Poznań,POZ,Weegree AZS Politechnika Opolska,OPO,83,84
Kotwica Port Morski Kołobrzeg,KOT,SKS Fulimpex Starogard Gdański,STG,74,57
Żubry Abakus Okna Białystok,BIA,Decka Pelplin,PEL,84,91
PGE Spójnia Stargard,SPÓ,GKS Tychy,GKS,87,81
Enea Abramczyk Astoria Bydgoszcz,AST,Enea Basket Poznań,POZ,88,67
ŁKS Coolpack Łódź,ŁKS,Miners Katowice,KAT,86,88
WKK Active Hotel Wrocław,WKK,Novimex Polonia 1912 Leszno,LES,81,69
Weegree AZS Politechnika Opolska,OPO,OPTeam Energia Polska Resovia,RES,76,74
KSK Qemetica Noteć Inowrocław,INO,KKS Polonia Warszawa,WAR,79,67
Decka Pelplin,PEL,KSK Qemetica Noteć Inowrocław,INO,70,79
Solvera Sokół Łańcut,ŁAŃ,PGE Spójnia Stargard,SPÓ,80,78
GKS Tychy,GKS,Kotwica Port Morski Kołobrzeg,KOT,89,83
SKS Fulimpex Starogard Gdański,STG,ŁKS Coolpack Łódź,ŁKS,79,72
OPTeam Energia Polska Resovia,RES,Enea Abramczyk Astoria Bydgoszcz,AST,88,75
Enea Basket Poznań,POZ,Żubry Abakus Okna Białystok,BIA,84,90
KKS Polonia Warszawa,WAR,WKK Active Hotel Wrocław,WKK,77,68
Miners Katowice,KAT,Weegree AZS Politechnika Opolska,OPO,77,79
Solvera Sokół Łańcut,ŁAŃ,Enea Abramczyk Astoria Bydgoszcz,AST,79,71
GKS Tychy,GKS,Żubry Abakus Okna Białystok,BIA,89,75
KKS Polonia Warszawa,WAR,ŁKS Coolpack Łódź,ŁKS,90,66
KSK Qemetica Noteć Inowrocław,INO,Kotwica Port Morski Kołobrzeg,KOT,95,71
SKS Fulimpex Starogard Gdański,STG,Enea Basket Poznań,POZ,93,84
Miners Katowice,KAT,OPTeam Energia Polska Resovia,RES,73,78
WKK Active Hotel Wrocław,WKK,PGE Spójnia Stargard,SPÓ,80,89
Novimex Polonia 1912 Leszno,LES,Weegree AZS Politechnika Opolska,OPO,75,89
