0,1,2,3
OPTeam Energia Polska Resovia -  Weegree AZS Politechnika Opolska Emocje TV - 2025-12-01 18:55,,01.12.2025 19:00,01.12.2025 19:00  73:71
SKS Fulimpex Starogard Gdański -  Kotwica Port Morski Kołobrzeg Emocje TV - 2025-12-01 18:55,,01.12.2025 19:00,01.12.2025 19:00  96:94
WKK Active Hotel Wrocław -  KKS Polonia Warszawa Emocje TV - 2025-12-06 14:55,,06.12.2025 15:00,06.12.2025 15:00  86:88
PGE Spójnia Stargard -  Solvera Sokół Łańcut Emocje TV - 2025-12-06 14:55,,06.12.2025 15:00,06.12.2025 15:00  96:81
Kotwica Port Morski Kołobrzeg -  GKS Tychy Emocje TV - 2025-12-06 14:55,,06.12.2025 15:00,06.12.2025 15:00  76:84
ŁKS Coolpack Łódź -  SKS Fulimpex Starogard Gdański Emocje TV - 2025-12-06 17:55,,06.12.2025 18:00,06.12.2025 18:00  96:68
Enea Abramczyk Astoria Bydgoszcz -  OPTeam Energia Polska Resovia Emocje TV - 2025-12-06 19:55,,06.12.2025 20:00,06.12.2025 20:00  79:60
Weegree AZS Politechnika Opolska -  Miners Katowice Emocje TV - 2025-12-07 14:55,,07.12.2025 15:00,07.12.2025 15:00  90:78
KSK Qemetica Noteć Inowrocław -  Decka Pelplin Emocje TV - 2025-12-07 16:55,,07.12.2025 17:00,07.12.2025 17:00  78:99
Żubry Abakus Okna Białystok -  Enea Basket Poznań Emocje TV - 2025-12-07 17:55,,07.12.2025 18:00,07.12.2025 18:00  66:80
GKS Tychy -  ŁKS Coolpack Łódź Emocje TV - 2025-12-13 17:55,,13.12.2025 18:00,13.12.2025 18:00  84:105
Novimex Polonia 1912 Leszno -  PGE Spójnia Stargard Emocje TV - 2025-12-13 17:55,,13.12.2025 18:00,13.12.2025 18:00  88:87
Decka Pelplin -  Enea Basket Poznań Emocje TV - 2025-12-13 19:55,,13.12.2025 20:00,13.12.2025 20:00  85:75
Solvera Sokół Łańcut -  Kotwica Port Morski Kołobrzeg Emocje TV - 2025-12-14 14:55,,14.12.2025 15:00,14.12.2025 15:00  87:78
Miners Katowice -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2025-12-14 17:55,,14.12.2025 18:00,14.12.2025 18:00  65:84
KSK Qemetica Noteć Inowrocław -  WKK Active Hotel Wrocław Emocje TV - 2025-12-14 17:55,,14.12.2025 18:00,14.12.2025 18:00  76:81
OPTeam Energia Polska Resovia -  Żubry Abakus Okna Białystok Emocje TV - 2025-12-15 18:55,,15.12.2025 19:00,15.12.2025 19:00  108:83
SKS Fulimpex Starogard Gdański -  Weegree AZS Politechnika Opolska Emocje TV - 2025-12-15 18:55,,15.12.2025 19:00,15.12.2025 19:00  99:71
Enea Abramczyk Astoria Bydgoszcz -  SKS Fulimpex Starogard Gdański Emocje TV - 2025-12-19 18:55,,19.12.2025 19:00,19.12.2025 19:00  71:79
WKK Active Hotel Wrocław -  Decka Pelplin Emocje TV - 2025-12-20 14:55,,20.12.2025 15:00,20.12.2025 15:00  92:99
Kotwica Port Morski Kołobrzeg -  Novimex Polonia 1912 Leszno Emocje TV - 2025-12-20 17:55,,20.12.2025 18:00,20.12.2025 18:00  67:70
Żubry Abakus Okna Białystok -  Miners Katowice Emocje TV - 2025-12-20 17:55,,20.12.2025 18:00,20.12.2025 18:00  104:92
ŁKS Coolpack Łódź -  Solvera Sokół Łańcut Emocje TV - 2025-12-20 19:55,,20.12.2025 20:00,20.12.2025 20:00  98:77
PGE Spójnia Stargard -  KKS Polonia Warszawa Emocje TV - 2025-12-21 14:55,,21.12.2025 15:00,21.12.2025 15:00  87:73
Enea Basket Poznań -  OPTeam Energia Polska Resovia Emocje TV - 2025-12-21 17:55,,21.12.2025 18:00,21.12.2025 18:00  100:96
Weegree AZS Politechnika Opolska -  GKS Tychy Emocje TV - 2025-12-21 19:55,,21.12.2025 20:00,21.12.2025 20:00  107:74
GKS Tychy -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2025-11-19 18:55,,19.11.2025 19:00,19.11.2025 19:00  75:92
Solvera Sokół Łańcut -  Weegree AZS Politechnika Opolska Emocje TV - 2025-11-29 17:55,,29.11.2025 18:00,29.11.2025 18:00  87:80
SKS Fulimpex Starogard Gdański -  Żubry Abakus Okna Białystok Emocje TV - 2025-12-27 14:55,,27.12.2025 15:00,27.12.2025 15:00  96:86
